2025-08-11 19:24:12 - TradeLogger - DEBUG - Logger initialized.
2025-08-11 19:24:12 - TradeLogger - DEBUG - Log file: logs/TradeLogger.log
2025-08-11 19:24:12 - TradeLogger - DEBUG - Logger name: TradeLogger
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Logger initialized.
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Log file: logs/TradeLogger.log
2025-08-11 19:24:12 - Drawdown Monitor - DEBUG - Logger name: Drawdown Monitor
2025-08-11 19:24:12 - Drawdown Monitor - INFO - [DAILY RESET] Portfolio start set to 100,000.00
2025-08-11 19:24:14 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:14.953672+00:00 | enter_long 293 MSFT @ 340.22 | SL:338.47785714285715 TP:342.54285714285714 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:15 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:15.563817+00:00 | enter_short 1 MSFT @ 339.35 | SL:341.16607142857146 TP:336.92857142857144 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:15 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:15.717793+00:00 | enter_short 1 MSFT @ 339.05 | SL:340.17785714285714 TP:337.35821428571427 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:15 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:15.770259+00:00 | enter_short 1 MSFT @ 338.87 | SL:340.60571428571427 TP:336.55571428571426 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:16 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:16.020161+00:00 | enter_short 1 MSFT @ 338.41 | SL:340.1725 TP:336.06 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:16 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:16.080750+00:00 | enter_short 1 MSFT @ 338.10 | SL:339.86678571428575 TP:335.74428571428575 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:16 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:16.182373+00:00 | enter_short 1 MSFT @ 337.81 | SL:339.62928571428574 TP:335.3842857142857 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:16 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:16.328924+00:00 | enter_short 1 MSFT @ 337.85 | SL:338.97357142857146 TP:336.1646428571429 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:16 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:16.384752+00:00 | enter_short 1 MSFT @ 337.95 | SL:339.6739285714286 TP:335.65142857142854 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:16 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:16.485912+00:00 | enter_short 1 MSFT @ 337.57 | SL:338.6871428571429 TP:335.89428571428573 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:18 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:18.108259+00:00 | enter_short 1 MSFT @ 337.00 | SL:338.9296428571428 TP:334.4271428571429 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:18 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:18.206477+00:00 | enter_short 1 MSFT @ 337.09 | SL:339.02714285714285 TP:334.50714285714287 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:18 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:18.312330+00:00 | enter_short 1 MSFT @ 337.18 | SL:338.92857142857144 TP:334.84857142857146 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:18 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:18.410927+00:00 | enter_short 1 MSFT @ 337.01 | SL:338.8925 TP:334.5 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:18 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:18.563500+00:00 | enter_short 1 MSFT @ 337.01 | SL:338.0907142857143 TP:335.38892857142855 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:18 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:18.609691+00:00 | enter_short 1 MSFT @ 336.95 | SL:338.0292857142857 TP:335.3310714285714 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:18 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:18.712285+00:00 | enter_short 1 MSFT @ 337.09 | SL:338.0885714285714 TP:335.59214285714285 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:18 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:18.811184+00:00 | enter_short 1 MSFT @ 337.18 | SL:338.09285714285716 TP:335.8107142857143 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:18 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:18.911657+00:00 | enter_short 1 MSFT @ 337.37 | SL:338.2842857142857 TP:335.99857142857144 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:19 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:19.630078+00:00 | enter_short 1 MSFT @ 336.51 | SL:337.35785714285714 TP:335.23821428571426 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:19 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:19.737891+00:00 | enter_short 1 MSFT @ 336.79 | SL:337.68 TP:335.45500000000004 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:19 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:19.844927+00:00 | enter_short 1 MSFT @ 336.64 | SL:337.4885714285714 TP:335.3671428571428 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:19 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:19.953567+00:00 | enter_short 1 MSFT @ 336.66 | SL:337.6385714285715 TP:335.19214285714287 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:20 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:20.034932+00:00 | enter_short 1 MSFT @ 336.59 | SL:337.585 TP:335.09749999999997 TS:None | strat=MomentumStrategy regime=low_volatility
2025-08-11 19:24:20 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:20.139460+00:00 | enter_short 1 MSFT @ 336.88 | SL:338.57392857142855 TP:334.62142857142857 TS:None | strat=MomentumStrategy regime=normal
2025-08-11 19:24:22 - TradeLogger - INFO - [TRADE] 2025-08-11T23:24:22.012012+00:00 | enter_short 1 MSFT @ 336.31 | SL:338.4560714285714 TP:333.4485714285714 TS:None | strat=MomentumStrategy regime=normal
